"URLLink";"PageVariable";"PageCount";"PageCountValue";"CombinedURL"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"26";"390";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=390"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"27";"405";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=405"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"28";"420";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=420"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"29";"435";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=435"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"30";"450";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=450"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"31";"465";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=465"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"32";"480";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=480"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"33";"495";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=495"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"34";"510";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=510"
"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;";"start=";"35";"525";"http://app06.ottawa.ca/cgi-bin/search/inspections/q.pl?ss=results_en;qt=fsi_s;sq_app_id=fsi;sq_keywords=;sq_field=fname;sq_fs_ftcd=;sq_fs_fwcd=;sort=fs_insp_sort%20asc%2Cscore%20desc;cookie=t;start=525"
